,accommodates,availability_30,host_total_listings_count,bathrooms,bedrooms,beds,extra_people,guests_included,hos1_iden1i1y_veri0ied,ins1an1_bookable,is_loca1ion_exac1,number_of_reviews,price,host_is_superhost
7728,2,29,92,1,1,1,0,1,0,1,0,33,368,0
7729,2,4,1,1,1,1,0,1,0,1,1,2,501,0
7730,3,30,1,1,1,1,180,2,0,0,0,8,1400,0
7731,2,0,6,1,1,1,0,2,1,0,1,2,681,1
7732,2,30,92,1,1,1,0,1,0,1,0,39,407,0
7733,2,0,1,2,1,1,100,2,1,1,0,6,798,0
7734,2,0,20,1,1,1,0,1,0,1,1,3,258,0
7735,2,28,20,1,1,1,0,1,0,1,0,1,352,0
7736,2,0,2,1,1,1,200,1,0,0,1,4,493,0
7737,1,0,25,1,1,1,0,1,0,0,1,3,399,0
7738,2,0,4,1,1,1,0,1,0,0,1,5,900,0
7739,2,22,92,1,1,1,0,1,0,1,1,29,501,0
7740,2,6,1,1,1,1,0,1,0,0,1,14,821,0
7741,2,29,92,1,1,1,0,1,0,1,1,27,501,0
7742,2,3,1,1,1,1,149,2,0,0,0,44,501,0
7743,2,29,2,1,1,1,0,1,0,0,1,4,509,0
7744,2,0,1,1,1,1,0,1,1,0,1,2,1400,0
7745,2,20,92,1,1,1,0,1,0,1,1,27,501,0
7746,1,0,2,1,0,1,0,1,0,0,1,1,399,0
7747,4,30,92,1,1,2,0,1,0,1,1,26,501,0
7748,2,30,92,1,1,1,0,1,0,1,1,25,438,0
7749,11,12,6,1,3,6,79,6,1,1,1,57,1197,1
7750,2,29,8,1,0,1,100,1,0,0,0,2,501,0
7751,2,0,3,1,1,1,0,1,0,0,1,2,352,0
7752,2,30,2,2,1,1,0,1,0,1,1,20,391,0
7753,5,0,1,1,0,2,150,1,0,0,0,23,1987,0
7754,5,29,8,1,0,3,100,1,0,0,0,2,548,0
7755,1,0,3,1,1,1,0,1,0,0,1,2,250,0
7756,4,30,8,1,0,2,100,1,0,0,0,1,501,0
7757,4,30,8,1,0,2,100,1,0,0,0,1,501,0
